,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
335,Ugoofaaru,MV,5.6667,73.0,80.67,76,74,8.97,light rain
336,Valparaiso,CL,-33.0393,-71.6273,71.83,49,0,13.8,clear sky
337,Vung Tau,VN,10.346,107.0843,80.22,82,98,6.46,overcast clouds
338,Yerofey Pavlovich,RU,53.9667,121.9667,10.71,94,100,2.68,light snow
339,Quelimane,MZ,-17.8786,36.8883,73.35,94,0,0.0,clear sky
340,Daru,PG,-9.0763,143.2092,86.41,70,100,5.86,overcast clouds
341,Pangai,TO,-19.8,-174.35,82.51,69,20,5.75,few clouds
342,Russell,US,32.3502,-85.1999,49.6,53,0,10.36,clear sky
343,Dingle,PH,10.9995,122.6711,79.72,88,93,8.21,overcast clouds
344,Wattegama,LK,6.7989,81.4808,70.02,92,92,3.58,overcast clouds
345,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,90,100,15.03,light rain
346,Alofi,NU,-19.0595,-169.9187,82.29,78,59,8.05,broken clouds
